,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,-1
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,1
2033,1
2034,0
2035,0
2036,0
2037,0
2038,0
2039,-1
2040,-1
2041,-1
2042,-1
2043,-1
2044,-1
2045,-1
2046,0
2047,0
2048,0
2049,0
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,0
2058,0
2059,0
2060,0
2061,-1
2062,-1
2063,-1
2064,-1
2065,-1
2066,0
2067,0
2068,0
2069,0
2070,0
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,0
2079,0
2080,-1
2081,-1
2082,-1
2083,-1
2084,-1
2085,-1
2086,-1
2087,-1
2088,-1
2089,-1
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,1
2097,1
2098,1
2099,1
2100,1
2101,2
2102,2
2103,2
2104,1
2105,1
2106,1
2107,1
2108,0
2109,0
2110,0
2111,-1
2112,-1
2113,-1
2114,-1
2115,-1
2116,0
2117,1
2118,0
2119,-1
2120,0
2121,0
2122,1
2123,2
2124,2
2125,1
2126,0
2127,1
2128,1
2129,0
2130,0
2131,1
2132,1
2133,0
2134,0
2135,1
2136,0
2137,-10
2138,-14
2139,4
2140,21
2141,5
2142,-17
2143,9
2144,84
2145,147
2146,131
2147,35
2148,-75
2149,-142
2150,-169
2151,-165
2152,-136
2153,-100
2154,-72
2155,-54
2156,-42
2157,-22
2158,27
2159,79
2160,98
2161,91
2162,88
2163,96
2164,111
2165,129
2166,136
2167,129
2168,105
2169,58
2170,6
2171,-17
2172,-8
2173,4
2174,7
2175,7
2176,0
2177,-19
2178,-36
2179,-44
2180,-58
2181,-86
2182,-108
2183,-105
2184,-102
2185,-110
2186,-100
2187,-67
2188,-44
2189,-34
2190,-16
2191,2
2192,3
2193,-9
2194,-22
2195,-11
2196,36
2197,71
2198,63
2199,43
2200,36
2201,39
2202,62
2203,97
2204,113
2205,106
2206,95
2207,86
2208,97
2209,123
2210,135
2211,140
2212,167
2213,188
2214,170
2215,132
2216,110
2217,122
2218,160
2219,175
2220,143
2221,100
2222,72
2223,45
2224,25
2225,31
2226,42
2227,22
2228,-27
2229,-66
2230,-69
2231,-56
2232,-63
2233,-101
2234,-129
2235,-115
2236,-99
2237,-127
2238,-164
2239,-167
2240,-156
2241,-157
2242,-173
2243,-198
2244,-210
2245,-192
2246,-178
2247,-195
2248,-207
2249,-200
2250,-207
2251,-228
2252,-230
2253,-205
2254,-178
2255,-177
2256,-200
2257,-217
2258,-206
2259,-189
2260,-193
2261,-209
2262,-201
2263,-166
2264,-145
2265,-142
2266,-132
2267,-120
2268,-122
2269,-119
2270,-99
2271,-69
2272,-42
2273,-32
2274,-36
2275,-39
2276,-42
2277,-40
2278,-16
2279,19
2280,34
2281,30
2282,18
2283,5
2284,4
2285,18
2286,38
2287,56
2288,58
2289,41
2290,25
2291,22
2292,21
2293,19
2294,16
2295,16
2296,16
2297,1
2298,-16
2299,-7
2300,22
2301,48
2302,86
2303,130
2304,151
2305,149
2306,139
2307,128
2308,126
2309,126
2310,115
2311,118
2312,135
2313,130
2314,115
2315,123
2316,134
2317,137
2318,153
2319,171
2320,168
2321,154
2322,148
2323,164
2324,192
2325,194
2326,168
2327,156
2328,160
2329,162
2330,164
2331,161
2332,155
2333,165
2334,179
2335,169
2336,153
2337,154
2338,156
2339,154
2340,150
2341,144
2342,143
2343,145
2344,128
2345,99
2346,97
2347,114
2348,123
2349,134
2350,154
2351,161
2352,150
2353,140
2354,130
2355,112
2356,88
2357,64
2358,63
2359,94
2360,117
2361,103
2362,72
2363,46
2364,29
2365,16
2366,-8
2367,-32
2368,-23
2369,2
2370,-6
2371,-33
2372,-40
2373,-36
2374,-31
2375,-14
2376,3
2377,-7
2378,-44
2379,-70
2380,-55
2381,-18
2382,3
2383,0
2384,1
2385,23
2386,48
2387,44
2388,20
2389,10
2390,12
2391,6
2392,10
2393,21
2394,10
2395,-14
2396,-22
2397,-19
2398,-21
2399,-34
2400,-61
2401,-71
2402,-45
2403,-18
2404,-21
2405,-36
2406,-52
2407,-60
2408,-60
2409,-77
2410,-111
2411,-115
2412,-82
2413,-65
2414,-83
2415,-101
2416,-95
2417,-89
2418,-109
2419,-130
2420,-127
2421,-117
2422,-114
2423,-108
2424,-105
2425,-122
2426,-141
2427,-150
2428,-166
2429,-189
2430,-198
2431,-179
2432,-147
2433,-137
2434,-149
2435,-160
2436,-170
2437,-187
2438,-201
2439,-207
2440,-211
2441,-202
2442,-193
2443,-201
2444,-212
2445,-219
2446,-219
2447,-198
2448,-171
2449,-175
2450,-193
2451,-184
2452,-162
2453,-159
2454,-182
2455,-224
2456,-247
2457,-231
2458,-215
2459,-228
2460,-257
2461,-294
2462,-324
2463,-315
2464,-267
2465,-231
2466,-240
2467,-279
2468,-300
2469,-263
2470,-213
2471,-220
2472,-258
2473,-243
2474,-181
2475,-156
2476,-206
2477,-269
2478,-285
2479,-276
2480,-298
2481,-339
2482,-346
2483,-304
2484,-246
2485,-203
2486,-190
2487,-196
2488,-205
2489,-217
2490,-232
2491,-234
2492,-219
2493,-189
2494,-157
2495,-148
2496,-159
2497,-165
2498,-161
2499,-159
2500,-157
2501,-145
2502,-129
2503,-124
2504,-152
2505,-201
2506,-207
2507,-153
2508,-114
2509,-138
2510,-181
2511,-189
2512,-171
2513,-165
2514,-178
2515,-181
2516,-161
2517,-147
2518,-160
2519,-184
2520,-187
2521,-166
2522,-159
2523,-181
2524,-193
2525,-178
2526,-162
2527,-159
2528,-159
2529,-161
2530,-167
2531,-172
2532,-175
2533,-165
2534,-148
2535,-142
2536,-135
2537,-106
2538,-76
2539,-74
2540,-97
2541,-129
2542,-148
2543,-131
2544,-89
2545,-47
2546,-28
2547,-51
2548,-86
2549,-80
2550,-35
2551,11
2552,35
2553,18
2554,-31
2555,-44
2556,1
2557,40
2558,37
2559,22
2560,16
2561,10
2562,5
2563,8
2564,22
2565,20
2566,-11
2567,-26
2568,-7
2569,-8
2570,-36
2571,-27
2572,8
2573,-4
2574,-50
2575,-66
2576,-52
2577,-48
2578,-56
2579,-55
2580,-44
2581,-35
2582,-26
2583,-15
2584,-7
2585,11
2586,47
2587,75
2588,68
2589,47
2590,36
2591,45
2592,64
2593,55
2594,20
2595,13
2596,43
2597,62
2598,64
2599,67
2600,64
2601,51
2602,47
2603,42
2604,26
2605,23
2606,41
2607,49
2608,44
2609,57
2610,94
2611,118
2612,120
2613,116
2614,95
2615,70
2616,79
2617,109
2618,120
2619,124
2620,131
2621,126
2622,128
2623,143
2624,142
2625,133
2626,137
2627,129
2628,109
2629,115
2630,146
2631,174
2632,188
2633,182
2634,173
2635,189
2636,211
2637,217
2638,224
2639,232
2640,225
2641,217
2642,217
2643,212
2644,207
2645,220
2646,241
2647,250
2648,244
2649,227
2650,212
2651,224
2652,260
2653,281
2654,270
2655,263
2656,274
2657,273
2658,247
2659,227
2660,221
2661,226
2662,256
2663,301
2664,322
2665,310
2666,292
2667,285
2668,290
2669,301
2670,297
2671,265
2672,231
2673,223
2674,233
2675,240
2676,240
2677,245
2678,263
2679,288
2680,309
2681,322
2682,333
2683,329
2684,293
2685,252
2686,236
2687,245
2688,256
2689,254
2690,239
2691,242
2692,272
2693,294
2694,285
2695,269
2696,267
2697,273
2698,276
2699,272
2700,265
2701,270
2702,289
2703,311
2704,314
2705,291
2706,266
2707,267
2708,282
2709,289
2710,292
2711,297
2712,294
2713,283
2714,277
2715,281
2716,296
2717,318
2718,322
2719,289
2720,253
2721,270
2722,318
2723,335
2724,337
2725,359
2726,358
2727,313
2728,281
2729,276
2730,265
2731,265
2732,298
2733,321
2734,310
2735,296
2736,307
2737,336
2738,355
2739,334
2740,296
2741,286
2742,298
2743,302
2744,304
2745,311
2746,303
2747,279
2748,282
2749,309
2750,314
2751,286
2752,272
2753,292
2754,315
2755,313
2756,290
2757,268
2758,259
2759,251
2760,238
2761,231
2762,222
2763,191
2764,163
2765,171
2766,185
2767,171
2768,154
2769,167
2770,193
2771,201
2772,195
2773,207
2774,236
2775,238
2776,206
2777,185
2778,188
2779,197
2780,210
2781,227
2782,222
2783,184
2784,146
2785,137
2786,157
2787,184
2788,192
2789,179
2790,147
2791,101
2792,61
2793,49
2794,63
2795,90
2796,110
2797,88
2798,45
2799,51
2800,109
2801,146
2802,142
2803,132
2804,132
2805,130
2806,125
2807,126
2808,145
2809,174
2810,180
2811,155
2812,121
2813,96
2814,88
2815,100
2816,112
2817,107
2818,96
2819,92
2820,100
2821,118
2822,136
2823,141
2824,130
2825,119
2826,127
2827,151
2828,169
2829,160
2830,124
2831,93
2832,101
2833,135
2834,153
2835,143
2836,119
2837,95
2838,86
2839,91
2840,82
2841,58
2842,52
2843,73
2844,97
2845,105
2846,97
2847,79
2848,57
2849,47
2850,57
2851,65
2852,56
2853,54
2854,55
2855,46
2856,54
2857,79
2858,80
2859,74
2860,93
2861,98
2862,75
2863,80
2864,121
2865,148
2866,140
2867,110
2868,93
2869,104
2870,113
2871,113
2872,131
2873,139
2874,118
2875,110
2876,117
2877,108
2878,101
2879,94
2880,54
2881,14
2882,5
2883,2
2884,-2
2885,-1
2886,-5
2887,-4
2888,14
2889,25
2890,20
2891,15
2892,17
2893,25
2894,23
2895,2
2896,-10
2897,-2
2898,8
2899,30
2900,67
2901,81
2902,73
2903,68
2904,57
2905,42
2906,39
2907,28
2908,12
2909,27
2910,55
2911,52
2912,31
2913,5
2914,-25
2915,-39
2916,-39
2917,-37
2918,-23
2919,-9
2920,-14
2921,-22
2922,-24
2923,-39
2924,-54
2925,-45
2926,-33
2927,-41
2928,-44
2929,-35
2930,-37
2931,-60
2932,-87
